index;k;lb;cleaning;class
synth-n_160-m_2611-k_4-p_0.2.txt;4;4;4;s
synth-n_160-m_2705-k_6-p_0.2.txt;6;6;0;s
synth-n_160-m_2720-k_10-p_0.2.txt;10;10;0;s
synth-n_160-m_2776-k_8-p_0.2.txt;8;8;0;s
synth-n_160-m_2910-k_15-p_0.2.txt;15;15;0;s
synth-n_160-m_3006-k_20-p_0.2.txt;20;18;0;s
synth-n_160-m_3034-k_25-p_0.2.txt;25;21;0;s
synth-n_160-m_3134-k_30-p_0.2.txt;30;12;0;s
synth-n_160-m_641-k_2-p_0.05.txt;2;2;2;s
synth-n_160-m_663-k_4-p_0.05.txt;4;4;4;s
synth-n_160-m_683-k_8-p_0.05.txt;6;5;1;s
synth-n_160-m_693-k_6-p_0.05.txt;6;6;6;s
synth-n_160-m_731-k_10-p_0.05.txt;10;7;0;s
synth-n_160-m_743-k_20-p_0.05.txt;19;9;1;s
synth-n_160-m_746-k_15-p_0.05.txt;14;7;2;s
synth-n_160-m_800-k_30-p_0.05.txt;27;16;1;s
synth-n_160-m_810-k_25-p_0.05.txt;25;5;0;s
synth-n_180-m_1022-k_30-p_0.05.txt;29;18;1;s
synth-n_180-m_1057-k_25-p_0.05.txt;22;11;0;s
synth-n_180-m_1627-k_4-p_0.1.txt;4;4;4;s
synth-n_180-m_1658-k_2-p_0.1.txt;2;2;2;s
synth-n_180-m_1683-k_6-p_0.1.txt;6;6;2;s
synth-n_180-m_1717-k_8-p_0.1.txt;8;8;8;s
synth-n_180-m_1738-k_10-p_0.1.txt;10;10;0;s
synth-n_180-m_1958-k_15-p_0.1.txt;15;14;1;s
synth-n_180-m_1962-k_25-p_0.1.txt;25;21;0;s
synth-n_180-m_1968-k_20-p_0.1.txt;20;17;0;s
synth-n_180-m_2037-k_30-p_0.1.txt;30;20;0;s
synth-n_180-m_3254-k_2-p_0.2.txt;2;2;2;s
synth-n_180-m_3302-k_4-p_0.2.txt;4;4;4;s
synth-n_180-m_3396-k_8-p_0.2.txt;8;8;1;s
synth-n_180-m_3408-k_6-p_0.2.txt;6;6;0;s
synth-n_180-m_3481-k_10-p_0.2.txt;10;10;0;s
synth-n_180-m_3631-k_15-p_0.2.txt;15;15;0;s
synth-n_180-m_3690-k_20-p_0.2.txt;20;20;0;s
synth-n_180-m_3812-k_25-p_0.2.txt;25;23;0;s
synth-n_180-m_4031-k_30-p_0.2.txt;30;29;0;s
synth-n_180-m_804-k_2-p_0.05.txt;2;2;2;s
synth-n_180-m_827-k_6-p_0.05.txt;6;6;6;s
synth-n_180-m_855-k_15-p_0.05.txt;15;13;4;s
synth-n_180-m_867-k_8-p_0.05.txt;8;8;8;s
synth-n_180-m_881-k_4-p_0.05.txt;4;4;4;s
synth-n_180-m_895-k_20-p_0.05.txt;19;17;4;s
synth-n_180-m_902-k_10-p_0.05.txt;10;10;3;s
synth-n_20-m_18-k_4-p_0.05.txt;1;1;1;s
synth-n_20-m_20-k_4-p_0.1.txt;0;0;0;s
synth-n_20-m_25-k_2-p_0.1.txt;1;1;1;s
synth-n_20-m_25-k_8-p_0.1.txt;2;2;2;s
