index;k;lb;cleaning;class
synth-n_200-m_4301-k_10-p_0.2.txt;10;10;0;s
synth-n_200-m_4485-k_20-p_0.2.txt;20;20;0;s
synth-n_200-m_4497-k_15-p_0.2.txt;15;15;0;s
synth-n_200-m_4763-k_25-p_0.2.txt;25;19;0;s
synth-n_200-m_4854-k_30-p_0.2.txt;30;29;0;s
synth-n_200-m_5144-k_50-p_0.2.txt;50;42;0;s
synth-n_200-m_5366-k_70-p_0.2.txt;70;56;0;s
synth-n_2000-m_106592-k_70-p_0.05.txt;70;56;0;s
synth-n_250-m_1653-k_10-p_0.05.txt;10;10;10;s
synth-n_250-m_1708-k_15-p_0.05.txt;15;12;1;s
synth-n_250-m_1797-k_25-p_0.05.txt;25;21;0;s
synth-n_250-m_1806-k_20-p_0.05.txt;20;15;1;s
synth-n_250-m_1841-k_30-p_0.05.txt;30;15;0;s
synth-n_250-m_1998-k_50-p_0.05.txt;50;21;0;s
synth-n_250-m_2173-k_70-p_0.05.txt;69;37;0;s
synth-n_250-m_3237-k_10-p_0.1.txt;10;10;0;s
synth-n_250-m_3416-k_15-p_0.1.txt;15;14;0;s
synth-n_250-m_3493-k_25-p_0.1.txt;25;22;1;s
synth-n_250-m_3591-k_20-p_0.1.txt;20;16;0;s
synth-n_250-m_3730-k_30-p_0.1.txt;30;26;0;s
synth-n_250-m_3992-k_50-p_0.1.txt;50;30;0;s
synth-n_250-m_4149-k_70-p_0.1.txt;70;53;0;s
synth-n_250-m_6567-k_10-p_0.2.txt;10;10;0;s
synth-n_250-m_6839-k_20-p_0.2.txt;20;20;0;s
synth-n_250-m_6880-k_15-p_0.2.txt;15;15;0;s
synth-n_250-m_7102-k_25-p_0.2.txt;25;24;0;s
synth-n_250-m_7321-k_30-p_0.2.txt;30;30;0;s
synth-n_250-m_8019-k_50-p_0.2.txt;50;48;0;s
synth-n_250-m_8255-k_70-p_0.2.txt;70;63;0;s
synth-n_250-m_8674-k_100-p_0.2.txt;100;76;0;s
synth-n_300-m_10021-k_20-p_0.2.txt;20;20;0;s
synth-n_300-m_10113-k_25-p_0.2.txt;25;25;0;s
synth-n_300-m_10205-k_30-p_0.2.txt;30;29;0;s
synth-n_300-m_10954-k_50-p_0.2.txt;50;48;0;s
synth-n_300-m_11628-k_70-p_0.2.txt;70;61;0;s
synth-n_300-m_12194-k_100-p_0.2.txt;100;78;0;s
synth-n_300-m_12407-k_120-p_0.2.txt;120;91;0;s
synth-n_300-m_2373-k_15-p_0.05.txt;15;15;0;s
synth-n_300-m_2470-k_20-p_0.05.txt;20;17;1;s
synth-n_300-m_2597-k_25-p_0.05.txt;25;8;0;s
synth-n_300-m_2657-k_30-p_0.05.txt;30;23;0;s
synth-n_300-m_2835-k_50-p_0.05.txt;50;23;0;s
synth-n_300-m_2943-k_70-p_0.05.txt;70;43;0;s
synth-n_300-m_4857-k_15-p_0.1.txt;15;15;0;s
synth-n_300-m_4934-k_25-p_0.1.txt;25;25;0;s
synth-n_300-m_4954-k_20-p_0.1.txt;20;20;0;s
synth-n_300-m_5319-k_30-p_0.1.txt;30;28;0;s
synth-n_300-m_5550-k_50-p_0.1.txt;50;33;0;s
synth-n_300-m_5939-k_70-p_0.1.txt;70;63;0;s
synth-n_300-m_6233-k_100-p_0.1.txt;100;69;0;s
synth-n_300-m_6319-k_120-p_0.1.txt;120;83;0;s
synth-n_300-m_9556-k_15-p_0.2.txt;15;15;0;s
synth-n_400-m_10064-k_70-p_0.1.txt;70;65;0;s
synth-n_400-m_10528-k_100-p_0.1.txt;100;89;0;s
synth-n_400-m_10934-k_120-p_0.1.txt;120;101;0;s
synth-n_400-m_11482-k_150-p_0.1.txt;150;106;0;s
synth-n_400-m_16937-k_15-p_0.2.txt;15;15;0;s
synth-n_400-m_17175-k_20-p_0.2.txt;20;20;0;s
synth-n_400-m_17488-k_25-p_0.2.txt;25;25;0;s
synth-n_400-m_17822-k_30-p_0.2.txt;30;30;0;s
synth-n_400-m_18943-k_50-p_0.2.txt;50;50;0;s
synth-n_400-m_19735-k_70-p_0.2.txt;70;67;0;s
synth-n_400-m_20559-k_100-p_0.2.txt;100;93;0;s
synth-n_400-m_21181-k_120-p_0.2.txt;120;104;0;s
synth-n_400-m_4229-k_20-p_0.05.txt;20;19;1;s
synth-n_400-m_4312-k_15-p_0.05.txt;15;15;3;s
synth-n_400-m_4511-k_25-p_0.05.txt;25;24;1;s
synth-n_400-m_4551-k_30-p_0.05.txt;30;27;0;s
synth-n_400-m_4714-k_50-p_0.05.txt;50;43;0;s
synth-n_400-m_5045-k_70-p_0.05.txt;70;60;0;s
synth-n_400-m_5336-k_100-p_0.05.txt;100;77;0;s
synth-n_400-m_5606-k_120-p_0.05.txt;120;82;0;s
synth-n_400-m_8510-k_15-p_0.1.txt;15;15;3;s
synth-n_400-m_8590-k_20-p_0.1.txt;20;18;1;s
synth-n_400-m_8815-k_25-p_0.1.txt;25;24;0;s
synth-n_400-m_9014-k_30-p_0.1.txt;30;21;0;s
synth-n_400-m_9687-k_50-p_0.1.txt;50;49;0;s
synth-n_50-m_139-k_5-p_0.1.txt;1;1;1;s
synth-n_50-m_143-k_10-p_0.1.txt;5;5;5;s
synth-n_50-m_164-k_15-p_0.1.txt;9;7;1;s
synth-n_50-m_169-k_20-p_0.1.txt;9;4;0;s
synth-n_50-m_269-k_5-p_0.2.txt;5;5;5;s
synth-n_50-m_293-k_10-p_0.2.txt;10;7;0;s
synth-n_50-m_325-k_15-p_0.2.txt;15;10;0;s
synth-n_50-m_343-k_20-p_0.2.txt;19;11;0;s
synth-n_50-m_72-k_5-p_0.05.txt;2;2;2;s
synth-n_50-m_84-k_10-p_0.05.txt;1;1;1;s
synth-n_50-m_92-k_20-p_0.05.txt;2;2;2;s
synth-n_50-m_95-k_15-p_0.05.txt;4;4;0;s
synth-n_500-m_13283-k_20-p_0.1.txt;20;20;0;s
synth-n_500-m_13672-k_25-p_0.1.txt;25;25;0;s
synth-n_500-m_13710-k_30-p_0.1.txt;30;29;0;s
synth-n_500-m_14453-k_50-p_0.1.txt;50;48;0;s
synth-n_500-m_15273-k_70-p_0.1.txt;70;66;0;s
synth-n_500-m_15985-k_100-p_0.1.txt;100;87;0;s
synth-n_500-m_16565-k_120-p_0.1.txt;120;110;0;s
synth-n_500-m_17327-k_150-p_0.1.txt;150;118;0;s
synth-n_500-m_26431-k_20-p_0.2.txt;20;20;0;s
synth-n_500-m_26954-k_25-p_0.2.txt;25;21;0;s
synth-n_500-m_27136-k_30-p_0.2.txt;30;30;0;s
synth-n_500-m_28432-k_50-p_0.2.txt;50;47;0;s
synth-n_500-m_29623-k_70-p_0.2.txt;70;69;0;s
synth-n_500-m_31513-k_100-p_0.2.txt;100;93;0;s
synth-n_500-m_32243-k_120-p_0.2.txt;120;113;0;s
synth-n_500-m_33353-k_150-p_0.2.txt;150;127;0;s
synth-n_500-m_6745-k_25-p_0.05.txt;25;25;0;s
synth-n_500-m_6906-k_20-p_0.05.txt;20;15;0;s
synth-n_500-m_6986-k_30-p_0.05.txt;30;27;1;s
synth-n_500-m_7195-k_50-p_0.05.txt;50;32;0;s
synth-n_500-m_7774-k_70-p_0.05.txt;70;47;0;s
synth-n_500-m_8350-k_100-p_0.05.txt;100;86;0;s
synth-n_500-m_8412-k_120-p_0.05.txt;120;89;0;s
synth-n_500-m_8716-k_150-p_0.05.txt;150;90;0;s
synth-n_700-m_13000-k_25-p_0.05.txt;25;20;0;s
synth-n_700-m_13374-k_30-p_0.05.txt;30;29;0;s
synth-n_700-m_13738-k_50-p_0.05.txt;50;47;0;s
synth-n_700-m_14360-k_70-p_0.05.txt;70;69;0;s
synth-n_700-m_14970-k_100-p_0.05.txt;100;85;0;s
synth-n_700-m_15640-k_120-p_0.05.txt;120;83;0;s
synth-n_700-m_16024-k_150-p_0.05.txt;150;117;0;s
synth-n_700-m_26060-k_25-p_0.1.txt;25;25;0;s
synth-n_700-m_26206-k_30-p_0.1.txt;30;30;0;s
synth-n_700-m_27622-k_50-p_0.1.txt;50;50;0;s
synth-n_700-m_28433-k_70-p_0.1.txt;70;67;0;s
synth-n_700-m_29736-k_100-p_0.1.txt;100;98;0;s
synth-n_700-m_30695-k_120-p_0.1.txt;120;107;0;s
synth-n_700-m_31750-k_150-p_0.1.txt;150;141;0;s
synth-n_700-m_51621-k_25-p_0.2.txt;25;25;0;s
synth-n_700-m_52169-k_30-p_0.2.txt;30;30;0;s
synth-n_700-m_54187-k_50-p_0.2.txt;50;49;0;s
synth-n_700-m_55984-k_70-p_0.2.txt;70;68;0;s
