instance;recursions;rootTime;cleaningTime;packingTime;flowerTime;digraphTime;busyCycleBranchingTime;cycleSearchTime;tarjanTime;totalTime;firstLowerbound;firstDigraphNodes;firstCleans;tarjanString
../instances/synthetic3/synth-n_50-m_164-k_15-p_0.1.txt;400;18861178;17148060;9105062;191999;2319557;16618951;363;0;74459467;6;0;1;null
../instances/complex3/openflights-n_2000;13;594056340;273073;415936;0;509751;795418;2475;0;596594610;10;198;384;null
../instances/complex3/chess-n_100;0;4655238;0;0;0;0;0;0;0;4659202;0;0;0;null
../instances/synthetic3/synth-n_500-m_28432-k_50-p_0.2.txt;31;8605612590;6333106075;495499624;0;38460241;475148646;2787;0;16028638656;47;0;0;null
../instances/complex3/usairport-n_500;1630;182887811;66336087;11650892;11168111;3079669;33690584;435;0;338644300;29;19;56;null
../instances/synthetic3/synth-n_1000-m_27142-k_50-p_0.05.txt;1;11053016563;10106619703;210572472;0;42832150;0;12090;0;21433493407;50;0;0;null
../instances/synthetic3/synth-n_100-m_611-k_10-p_0.1.txt;19;51464751;28489192;4028574;0;2218683;3119767;5334;0;93094146;5;0;0;null
../instances/synthetic3/synth-n_150-m_1385-k_25-p_0.1.txt;10390;139914096;8073330720;1030856947;354118543;81509200;2284588878;197;0;12563956288;21;0;0;null
../instances/synthetic3/synth-n_400-m_8815-k_25-p_0.1.txt;6;1602944304;684525986;43304254;0;14099586;12002980;4342;0;2364627590;24;0;0;null
../instances/synthetic3/synth-n_700-m_27622-k_50-p_0.1.txt;1;8786754341;3726653123;155847958;0;40746531;0;16491;0;12719987857;50;0;0;null
../instances/complex3/bitcoinalpha-n_50;0;4512188;0;0;0;0;0;0;0;4516965;0;2;0;null
../instances/complex3/talk-oc-n_500;0;6119447;0;0;0;0;0;0;0;6120569;0;3;0;null
../instances/synthetic3/synth-n_100-m_1151-k_15-p_0.2.txt;2;88094438;51594940;4273423;0;2791935;0;9071;0;148773962;14;0;0;null
../instances/synthetic3/synth-n_700-m_28433-k_70-p_0.1.txt;36;10916200381;16588305685;426199839;218362636;29439161;411965591;2565;0;28643258549;67;0;0;null
../instances/synthetic3/synth-n_150-m_1254-k_10-p_0.1.txt;5;96432370;26862713;3030660;0;2285803;1636195;1720;0;132835142;8;0;0;null
../instances/synthetic3/synth-n_200-m_1076-k_10-p_0.05.txt;0;76502587;0;0;0;0;0;0;0;76504683;0;0;10;null
../instances/synthetic3/synth-n_150-m_634-k_10-p_0.05.txt;0;41923813;0;0;0;0;0;0;0;41925766;0;0;7;null
../instances/synthetic3/synth-n_500-m_14453-k_50-p_0.1.txt;11;3527475417;2983171845;95787130;0;16209631;47134907;15846;0;6682254521;48;0;0;null
../instances/synthetic3/synth-n_250-m_1797-k_25-p_0.05.txt;1277;156786064;3183430820;179973124;91415747;30615931;503313967;1286;0;4360106358;21;0;0;null
../instances/synthetic3/synth-n_100-m_343-k_25-p_0.05.txt;3249;35815903;203351103;58818307;13185937;8879864;152870909;771;0;542944925;8;0;0;null
../instances/synthetic3/synth-n_200-m_1245-k_25-p_0.05.txt;28556;119829135;10607873746;1616505167;765111688;147875438;3242164052;446;0;17781387866;15;0;0;null
../instances/complex3/health-n_1000;0;116692917;0;0;0;0;0;0;0;116693092;0;152;79;null
../instances/synthetic3/synth-n_700-m_13000-k_25-p_0.05.txt;16;2674768807;1737024004;83886338;0;23626207;23370085;2702;0;4561953479;20;0;0;null
../instances/complex3/ChicagoRegional-n_2000;2;48427411;105115;114846;0;91223;594773;5788;0;49666397;2;293;12;null
../instances/synthetic3/synth-n_400-m_9014-k_30-p_0.1.txt;46;1591711620;1268562832;99310175;0;14678407;73004155;3952;0;3067565544;21;0;0;null
../instances/synthetic3/synth-n_300-m_4934-k_25-p_0.1.txt;1;833473734;339347751;25763941;0;10596816;0;7136;0;1213671522;25;0;0;null
../instances/complex3/advotogo-n_50;0;1906223;0;0;0;0;0;0;0;1911193;0;0;0;null
../instances/synthetic3/synth-n_500-m_6986-k_30-p_0.05.txt;13;1029509082;1034310529;26469485;0;8644331;17786384;6088;0;2128607125;26;0;1;null
../instances/synthetic3/synth-n_1000-m_54531-k_50-p_0.1.txt;1;26619744684;11734495781;263465205;0;44853890;0;47944;0;38687609294;50;0;0;null
../instances/complex3/ChicagoRegional-n_1500;0;26538454;0;0;0;0;0;0;0;26540352;0;179;2;null
../instances/synthetic3/synth-n_500-m_29623-k_70-p_0.2.txt;11;8476350789;5789815013;277004061;0;39453088;194022281;79910;0;14812231420;69;0;0;null
../instances/complex3/health-n_500;0;31074183;0;0;0;0;0;0;0;31076373;0;54;13;null
../instances/synthetic3/synth-n_100-m_302-k_15-p_0.05.txt;1;28452159;775272;251567;0;375264;0;8301;0;30237086;4;0;4;null
../instances/complex3/bitcoinalpha-n_1000;0;61055810;0;0;0;0;0;0;0;61056428;0;67;69;null
../instances/synthetic3/synth-n_700-m_52169-k_30-p_0.2.txt;1;16011146999;5686138817;141560471;0;40840297;0;6200;0;21912663748;30;0;0;null
../instances/synthetic3/synth-n_50-m_325-k_15-p_0.2.txt;11330;28933948;607449099;200122631;28290791;19027407;450206963;190;0;1537430283;10;0;0;null
../instances/synthetic3/synth-n_50-m_92-k_20-p_0.05.txt;0;10622595;0;0;0;0;0;0;0;10636823;0;0;2;null
../instances/complex3/advotogo-n_500;0;23902403;0;0;0;0;0;0;0;23905611;0;35;4;null
../instances/synthetic3/synth-n_500-m_27136-k_30-p_0.2.txt;1;5867957429;2868929931;100515850;0;37334402;0;5670;0;8890198680;30;0;0;null
../instances/synthetic3/synth-n_100-m_628-k_20-p_0.1.txt;95321;49064222;7537234785;3134114771;464041531;141445585;4409821580;233;0;17616352697;14;0;0;null
../instances/synthetic3/synth-n_1300-m_46137-k_70-p_0.05.txt;11;25361322590;32045168158;523533816;0;45827004;337121801;28996;0;58349845183;68;0;0;null
../instances/complex3/ucsocial-n_1000;138;431131850;20964731;5714227;1527329;1429433;5644269;1313;0;478407539;31;32;190;null
../instances/complex3/usairport-n_1000;398866;952599121;16480167353;2073461478;1684204655;544095942;6428562242;235;0;33058151306;59;24;149;null
../instances/complex3/ChicagoRegional-n_100;0;3504061;0;0;0;0;0;0;0;3509084;0;1;0;null
../instances/synthetic3/synth-n_1300-m_45241-k_50-p_0.05.txt;191;24421562389;35659887563;1303423562;0;60247327;5090606210;9301;0;66625968763;12;0;0;null
../instances/synthetic3/synth-n_100-m_336-k_30-p_0.05.txt;93749;35363193;3601796610;1344299605;110032617;126511265;2508305368;183;0;9158305765;8;0;1;null
../instances/synthetic3/synth-n_700-m_13374-k_30-p_0.05.txt;6;2893821984;1260524924;49861416;0;16064266;14108793;2193;0;4243607927;29;0;0;null
../instances/synthetic3/synth-n_400-m_19735-k_70-p_0.2.txt;32;4338012748;5872151273;180551361;0;17849085;182164818;21777;0;10624702061;67;0;0;null
../instances/synthetic3/synth-n_100-m_1263-k_25-p_0.2.txt;124574;110886030;57148617283;8310714538;1647724252;360714229;14924440603;543;0;86844756212;20;0;0;null
../instances/synthetic3/synth-n_50-m_72-k_5-p_0.05.txt;0;6434804;0;0;0;0;0;0;0;6436448;0;0;2;null
../instances/synthetic3/synth-n_1300-m_95352-k_100-p_0.1.txt;1;93003105465;45665918984;601647760;0;81485566;0;12724;0;139392986966;100;0;0;null
../instances/synthetic3/synth-n_1300-m_92255-k_70-p_0.1.txt;1;82668342110;38845348770;447027938;0;77058188;0;33515;0;122074669926;70;0;0;null
../instances/synthetic3/synth-n_200-m_4485-k_20-p_0.2.txt;1;476068941;111677083;17763569;0;8985701;0;7892;0;616906338;20;0;0;null
../instances/synthetic3/synth-n_1300-m_89669-k_50-p_0.1.txt;19;67731050395;36055606868;980378318;0;75621845;1187943274;8746;0;106118604333;47;0;0;null
../instances/synthetic3/synth-n_100-m_1229-k_20-p_0.2.txt;395;90789387;337279413;43146444;15436282;7010612;68960967;400;0;590749811;17;0;0;null
../instances/synthetic3/synth-n_1600-m_68907-k_70-p_0.05.txt;219;58399401335;94986342393;4785956575;0;76097761;5846185741;7726;0;164577568719;37;0;0;null
../instances/complex3/link-kv-n_1500;283;86716454;9116083;3283694;0;1205884;7179376;728;0;112514891;25;309;37;null
../instances/complex3/temporalGraph-n_1000;0;70152981;0;0;0;0;0;0;0;70155880;0;23;17;null
../instances/synthetic3/synth-n_250-m_1708-k_15-p_0.05.txt;4;142818003;62203863;3522391;0;3689298;0;7719;0;215401903;11;0;1;null
../instances/complex3/ucsocial-n_100;0;5582458;0;0;0;0;0;0;0;5584161;0;5;0;null
../instances/synthetic3/synth-n_50-m_95-k_15-p_0.05.txt;2;9323748;715666;200265;0;289543;461708;4253;0;11332904;4;0;0;null
../instances/synthetic3/synth-n_1600-m_137884-k_70-p_0.1.txt;1;113004536364;52343671495;483562660;0;86656725;0;37339;0;165974265421;70;0;0;null
